date,price_open,price_close,volume
2023/10/27,534.00,533.00,"15,975"
2023/10/30,531.00,532.00,"21,852"
2023/10/31,535.00,529.00,"26,477"
2023/11/01,533.00,528.00,"13,578"
2023/11/02,536.00,547.00,"30,212"
2023/11/03,547.00,549.00,"15,914"
2023/11/06,553.00,550.00,"30,462"
2023/11/07,552.00,555.00,"15,231"
2023/11/08,550.00,556.00,"15,969"
2023/11/09,551.00,557.00,"13,509"
2023/11/10,555.00,557.00,"13,354"
2023/11/13,579.00,571.00,"45,900"
2023/11/14,576.00,572.00,"22,836"
2023/11/15,583.00,581.00,"52,548"
2023/11/16,581.00,583.00,"29,154"
2023/11/17,579.00,580.00,"22,831"
2023/11/20,576.00,577.00,"22,492"
2023/11/21,582.00,585.00,"37,470"
2023/11/22,576.00,577.00,"22,734"
2023/11/23,574.00,578.00,"14,818"
2023/11/24,577.00,575.00,"10,295"
2023/11/27,573.00,568.00,"19,132"
2023/11/28,565.00,575.00,"26,672"
2023/11/29,578.00,574.00,"25,369"
2023/11/30,576.00,577.00,"47,515"
2023/12/01,573.00,579.00,"28,002"
2023/12/04,582.00,574.00,"27,271"
2023/12/05,571.00,570.00,"22,869"
2023/12/06,568.00,570.00,"21,765"
2023/12/07,570.00,566.00,"21,519"
2023/12/08,574.00,570.00,"34,104"
2023/12/11,572.00,574.00,"27,694"
2023/12/12,580.00,578.00,"29,911"
2023/12/13,576.00,577.00,"23,302"
2023/12/14,581.00,582.00,"40,462"
2023/12/15,585.00,585.00,"55,592"
2023/12/18,579.00,585.00,"26,700"
2023/12/19,588.00,585.00,"28,905"
2023/12/20,587.00,585.00,"38,458"
2023/12/21,577.00,577.00,"25,766"
2023/12/22,582.00,582.00,"19,035"
